Id,price,floor,floorTotal,metroDistance,area,rooms,distanceToCentre
871,45000000,18,22,40,170.0,4,11.71101096638104
872,11000000,4,5,12,53.7,2,8.339667385089935
873,11450000,4,5,12,56.2,2,6.944331273922451
874,55800000,9,9,3,124.0,3,1.912127175671693
875,36000000,11,53,11,97.4,3,6.394480202929105
876,19000000,10,17,40,81.0,3,5.82030443565821
877,12500000,5,17,12,53.0,2,5.82030443565821
878,63000000,5,19,2,134.5,3,8.307277144832305
879,5500000,11,21,80,60.0,2,22.696277347211495
880,9100000,9,9,7,61.3,3,16.54986357894506
882,2199000,9,17,120,38.0,1,40.11212257364347
883,2900635,2,14,112,38.0,1,25.621862279370422
884,51906390,32,37,10,129.0,3,14.224087334585509
885,48933232,32,37,10,122.0,3,14.224087334585509
886,17000000,3,18,10,77.0,2,10.811978158131383
887,12500000,3,18,8,54.0,1,10.811978158131383
888,7190000,11,16,72,64.4,3,15.57851666024606
889,5075080,1,18,10,37.6,1,21.439915952963467
890,11800000,3,13,6,50.9,1,8.015262215229212
891,19800000,4,13,6,78.0,2,8.015262215229212
892,19000000,9,13,6,76.6,2,8.015262215229212
893,276000000,3,7,8,246.0,5,1.9443911785200194
894,32000000,11,15,9,92.4,3,6.406676414323131
895,40880928,32,37,10,102.0,3,14.224087334585509
896,138623510,2,8,5,106.6,3,1.795037510123682
897,170399141,2,8,5,131.0,3,1.795037510123682
898,44000000,8,42,10,168.2,4,11.796801298171758
899,92911200,13,18,5,184.8,4,8.045389097356157
900,49000000,25,25,7,196.5,5,9.218357905188132
901,55000000,10,12,5,130.0,3,8.045389097356157
902,30000000,2,12,7,76.9,2,1.3439645211135327
903,130000000,2,17,2,190.0,4,8.404705108419183
904,2650000,2,4,10,29.4,1,23.799731173789585
905,2600000,10,10,280,38.0,1,26.691616415932142
906,2450000,8,10,480,39.0,1,47.422434850102235
907,4150000,14,19,280,55.0,2,31.51559001059293
908,16300000,8,17,80,106.6,3,16.495018262705457
909,89000000,32,57,12,190.0,4,8.045389097356157
910,5200000,5,17,232,91.0,3,37.97740014607709
911,2985670,1,6,192,39.8,1,27.949184567540904
912,3143200,1,6,192,41.9,1,27.949184567540904
913,2956940,4,6,192,41.0,1,27.994162437069047
914,3319280,1,3,192,42.6,1,27.98115377885044
915,3085530,1,3,192,39.6,1,27.98115377885044
916,3217990,3,3,192,41.3,1,28.055650154535424
917,3654330,3,3,192,46.9,1,28.055650154535424
918,116500000,8,12,5,115.0,3,1.405974780271043
919,55000000,8,9,5,236.0,5,7.570920999098774
920,7200000,10,14,10,39.3,2,13.315229235168744
921,3499800,2,9,264,61.4,2,38.806253300832154
922,2660900,8,9,264,45.1,1,38.806253300832154
923,2224300,8,9,264,37.7,1,38.806253300832154
924,2200700,9,9,264,37.3,1,38.806253300832154
925,2466200,6,9,264,41.8,1,38.78752599005094
926,3273990,11,17,200,45.8,1,30.897767771339975
927,4105500,17,17,200,59.5,2,30.897767771339975
928,2536400,17,17,200,37.3,1,30.843758434952715
929,2679200,17,17,200,39.4,1,30.843758434952715
930,2743120,15,17,200,40.3,1,30.843758434952715
931,3746560,17,17,200,58.5,2,30.843758434952715
932,4300000,14,17,200,69.8,2,30.843758434952715
933,5299000,3,17,5,36.0,1,19.11046290202432
934,3200000,17,25,120,28.0,1,22.120837763669133
935,3080000,1,9,184,35.5,1,24.958302292674457
936,3210000,7,9,184,35.3,1,24.958302292674457
937,3930000,9,9,184,43.2,1,24.958302292674457
938,2710000,6,14,184,33.8,1,25.086503957174276
939,3080000,2,14,184,40.2,1,25.086503957174276
940,3130000,5,14,184,39.2,1,25.086503957174276
941,2500000,7,14,184,30.9,1,25.086503957174276
942,4680000,5,14,184,61.6,2,25.086503957174276
943,4370000,6,14,184,56.8,2,25.086503957174276
944,4930000,9,14,184,62.8,2,25.086503957174276
945,65000000,6,11,11,107.0,3,6.394480202929105
946,3300686,10,17,168,32.8,1,25.102620418920104
947,4103280,2,23,10,41.7,1,23.006523114818595
948,4054600,23,25,168,44.0,1,25.706949085929715
949,3692000,5,17,104,40.0,1,23.989311402691996
950,3763740,16,17,104,42.1,1,23.989311402691996
951,4789720,11,16,104,60.4,2,23.994270403603803
952,3743051,1,17,168,34.7,1,25.102620418920104
953,4934580,8,17,104,65.1,2,24.580491231860513
954,4531300,11,16,104,56.5,2,23.994270403603803
955,4880400,1,25,168,58.1,2,25.202657427417897
956,3386790,7,16,104,36.3,1,23.994270403603803
957,3970610,9,17,104,43.3,1,23.989311402691996
958,3000000,1,5,240,45.0,2,35.288487301764576
959,5350520,1,25,168,67.9,3,25.202657427417897
960,3979530,11,16,104,45.9,1,23.994270403603803
961,5272322,15,17,104,71.8,3,24.253129202974478
962,53500000,5,16,2,140.0,4,8.307277144832305
963,5146820,16,17,104,67.9,2,23.989311402691996
964,4902960,2,17,104,65.9,2,24.580491231860513
965,3636080,9,14,200,34.4,1,19.756916594576687
966,5354720,4,16,104,68.3,3,23.994270403603803
967,4941400,1,15,168,62.0,2,25.202657427417897
968,4503090,18,25,10,36.7,1,22.665155982701492
969,5247900,5,17,104,68.6,2,23.989311402691996
970,55000000,3,6,8,125.0,5,2.1216075524261457
971,4435060,11,16,104,55.3,2,23.994270403603803
972,3310146,1,17,168,34.0,1,25.102620418920104
973,4447440,12,25,10,34.8,1,22.665155982701492
974,77822421,3,8,10,104.7,3,2.2876549211361508
975,78268395,3,8,10,105.3,3,2.2876549211361508
976,4612250,3,23,10,47.5,1,23.006523114818595
977,4650000,11,25,168,46.5,2,25.22471907164856
978,14215500,2,20,40,69.1,1,11.653105016258905
979,14274100,3,20,40,67.4,1,11.653105016258905
980,12871400,16,17,40,55.6,1,11.653105016258905
981,44000000,7,13,3,120.1,3,2.595198450660615
982,49000000,6,8,3,121.0,3,4.85168490895358
983,60000000,15,33,11,139.3,4,6.394480202929105
984,72000000,26,53,11,169.3,4,6.394480202929105
985,77426000,11,53,11,228.0,5,6.394480202929105
986,99301053,25,53,11,140.0,3,6.394480202929105
987,42739152,6,33,11,75.0,2,6.394480202929105
988,3732900,9,25,200,34.5,1,19.756916594576687
989,3880800,2,17,168,39.2,1,25.25568560311937
990,4559880,2,23,10,47.4,1,23.006523114818595
991,5530900,1,17,168,67.5,2,25.102620418920104
992,4667640,11,16,104,58.2,2,23.994270403603803
993,4698450,2,17,104,59.1,2,23.989311402691996
994,2950000,8,14,120,40.0,1,38.20767778838822
995,69000000,5,13,3,171.0,4,2.595198450660615
996,19500000,4,11,3,79.0,2,8.015262215229212
997,29000000,5,11,3,118.0,4,8.015262215229212
998,52000000,4,18,12,105.7,3,4.525998937927201
999,3150000,12,17,200,31.9,1,22.931016213889535
1000,4800000,6,8,80,30.0,1,9.307493772053078
1001,32000000,2,17,24,57.0,1,6.929202804761496
1002,83620080,3,8,5,130.5,4,1.188465533619559
1003,3700000,3,3,240,47.0,1,35.289810616824994
1004,6350000,7,16,25,40.0,1,18.1090432585887
1005,3800000,4,17,120,38.4,1,24.57079436349527
1006,44000000,2,25,24,126.5,2,8.293014786819048
1007,3543000,4,18,120,34.7,1,25.380016227289524
1008,4100000,3,9,232,44.0,2,30.97104188421044
1009,64000000,41,54,23,107.0,4,6.394480202929105
1010,3038700,4,6,120,53.9,2,23.37390404198989
1011,2973000,5,6,120,54.6,2,23.37390404198989
1012,3500000,13,16,160,35.1,1,34.53302753948692
1013,62000000,21,37,5,130.0,3,8.045389097356157
1014,65037840,3,11,5,170.0,4,2.623632574398833
1015,2358355,6,17,160,38.0,1,40.03497894039193
1016,2940151,8,17,160,56.4,2,40.03497894039193
1017,3642775,9,17,160,75.5,3,40.03497894039193
1018,41900000,16,18,56,141.0,4,4.5216626908554725
1019,32900000,4,37,12,90.0,3,14.18020875630296
1020,3499678,2,12,160,41.0,2,25.380016227289524
1021,39800000,9,15,3,69.0,2,8.262009159055525
1022,15800000,6,6,10,90.0,3,5.821521717594026
1023,3500000,1,7,160,58.0,2,23.856013305954676
1024,2400000,1,7,160,34.9,1,23.856013305954676
1025,3250000,5,11,240,51.7,1,23.591663898265132
1026,3990000,2,14,80,39.0,1,36.914513623579
1027,2700000,1,5,320,42.0,1,39.28592002121719
1028,2800000,3,3,400,60.0,2,86.27943317933098
1029,3600000,2,23,320,41.6,1,40.10124148926404
1030,3699000,2,4,176,57.0,3,46.161866838683736
1031,2698000,2,7,240,40.2,1,23.856013305954676
1032,2400000,1,6,120,34.9,1,23.68421031117334
1033,14700000,4,19,15,79.0,3,9.172128825481725
1034,10500000,5,19,15,57.0,2,9.177716749818016
1035,10500000,5,19,25,55.1,2,9.177716749818016
1036,10500000,7,19,25,56.0,2,9.177716749818016
1037,9800000,13,19,7,46.0,1,4.726167649536975
1038,27000000,2,8,16,95.0,3,7.8093355355377465
1039,5066040,1,25,168,65.2,2,25.202657427417897
1040,3600000,14,19,240,42.0,1,31.44171794353528
1041,3000000,16,17,160,40.7,1,24.193396440224102
1042,10200000,18,23,12,63.0,2,15.408461502109779
1043,15380000,4,19,7,79.0,2,4.538648490660846
1044,3000000,8,14,120,36.2,1,31.452831016591826
